date,line_id,items,model,destination,assign_no,detail
2024.08.14 วันพุธ ,Piroon,เบิก NTA บอร์ด MG +หลอด MG 3อัน ,,ฝากพี่ กุ้งครับ ,2086241342,12:03 Piroon Kbank 13/8/24 2086241342  : 0091 - สี่แยกราชวงศ์  : ปัญหา : เครื่องนับธนบัตร ตกช่อง rej ขอด่วน A00249 เบิก NTA บอร์ด MG +หลอด MG 3อัน ฝากพี่ กุ้งครับ  
2024.08.14 วันพุธ ,อุทาน,เบิกอะไหล่ พรุ่งนี้จะโทรแจ้งสาขาให้รับทราบอีกครั้ง) **เบิดชุดยางลูกกลื้งจำนวน12ลูก(เอาเฉพราะยางไม่เอาแกน) ส่ง ลงกำแพงเพชรครับ** ,NTV,ลงกำแพงเพชรครับ** ,2086241344,12:11 อุทาน Kbank 13/8/67 2086241344 ---รายละเอียดเอกสาร---  : 0240 - ตาก  : ปัญหา : เครื่องนับธนบัตรเสียงดัง เหมือนอะไรหลุดค่ะ ผู้นำทีม (Task Manager): ทีมงานสาขา-งานซ่อมสาขา(ภาค06) ph5987 **เข้า16/08/67เวลา08.30 น (รอ เบิกอะไหล่ พรุ่งนี้จะโทรแจ้งสาขาให้รับทราบอีกครั้ง) **เบิดชุดยางลูกกลื้งจำนวน12ลูก(เอาเฉพราะยางไม่เอาแกน) ส่ง ลงกำแพงเพชรครับ**  
2024.08.14 วันพุธ ,อุทาน,,,,,12:11 อุทาน รูป  
2024.08.14 วันพุธ ,REE©H,เบิกบอร์ดอ่านบัตร 1อัน ส่งเคอรี่ครับ ,,ส่งเคอรี่ครับ ,2083241338,12:45 REE©H K 13/08/2024 (2083241338) กสิกร สาขาเดอะพาซิโอ กาญจนาภิเษก ระบบงาน smartcard reader อาการ ไม่อ่านบัตรประชาชน ช่อง2 พนักงาน นิสาชล ขาวเครือ Tel : 063-148-8897 094-957-2679 INCS000000490335 *ปิดงานก่อน 2024-08-14 13.00* เบิกบอร์ดอ่านบัตร 1อัน ส่งเคอรี่ครับ  
2024.08.14 วันพุธ ,Pakorn,เบิก บอร์ด1 ,SC206,,2083241342,13:03 Pakorn 13/08/2024 (2083241342) กสิกร สาขาถนนศรีสุริยวงศ์ ราชบุรี ระบบงาน MagneticStripe // 2026063183 อาการ ไม่อ่านข้อมูล พนักงาน ศุภวรรณ กำพล Tel.091-7714762 INCS000000490428 *ปิดงานก่อน 2024-08-14 14.50* เบิก บอร์ด1  
2024.08.14 วันพุธ ,Gapp,เบิกจอแยก+สาย ส่งรถทัวร์ ลงอยุธยาครับ ,NT3,ลงอยุธยาครับ ,2082241403,13:05 Gapp 14/8/2024 (2082241403) SCB สาขา หนองแค (สระบุรี) NEWTON3 SN N20F01-B25975 อาการ หน้าจอไม่ติด **แจ้งผ่านทางช่าง** เบิกจอแยก+สาย ส่งรถทัวร์ ลงอยุธยาครับ @manoch มีเอกสารที่พี่โบแอดมินด้วยนะครับ  
2024.08.14 วันพุธ ,Dome,เบิกเครื่องแทน ,S6 Lite,ฝากพี่อ้นครับ ,2087241412,13:05 Dome 14/8/2024 (2087241412) TTB ถนนทัพพระยา พัทยา S6 Lite / R52TC0229ML User แจ้งเครื่อง Tablet ชาร์จแบตไม่เข้า หน้าจอจะกระพริบขึ้นมาแล้วดับไป โทร.085-4879792  083-6696426 Jareerat Sae-aiaw INC0287388 *รบกวนช่างแจ้งวันเข้าสาขามาที่แผนก Admin ทันทีนะคะ ว่าจะเข้าดำเนินการภายในวันไหน เพื่อทำการ ส่ง Mail ตอบกลับสำนักงานใหญ่* *ปิดงานภายในวันที่ 16/8/67* เบิกเครื่องแทน ฝากพี่อ้นครับ @PB  
2024.08.14 วันพุธ ,Pakorn,เบิก เครื่อง1เครื่อง ,SCR,ส่ง Mail ตอบกลับสำนักงานใหญ่* *ปิดงานภายในวันที่ 15/8/67* นำเครื่องกลับมาซ่อม9/8/67 เบิก เครื่อง1เครื่อง ,2087240913,13:16 Pakorn 9/8/2024 (2087240913) TTB เพชรบุรี (ถนนสุรินทรฦาชัย) SCR-3310 / 384012621 เครื่องไม่อ่านบัตรประชาชน เสียบบัตรแล้วไฟไม่ขึ้น โทร.0854879948 Phunchita Dittawong INC0287082 *รบกวนช่างแจ้งวันเข้าสาขามาที่แผนก Admin ทันทีนะคะ ว่าจะเข้าดำเนินการภายในวันไหน เพื่อทำการ ส่ง Mail ตอบกลับสำนักงานใหญ่* *ปิดงานภายในวันที่ 15/8/67* นำเครื่องกลับมาซ่อม9/8/67 เบิก เครื่อง1เครื่อง  
2024.08.14 วันพุธ ,Pakorn,เบิก สายจอแยก2เส้น ,NT3,,1083241317,13:22 Pakorn 13/08/2024 (1083241317) SCB ถนนศรีสุริยวงศ์ (ราชบุรี) NEWTON 3//N20F01-B25745 นับตกรีเจค โทร.032-325594 คุณอุษณีพร เบิก สายจอแยก2เส้น  
2024.08.14 วันพุธ ,THERDSAK.W.,เบิก. Encoder 1 ,,,1086241408,13:23 THERDSAK.W. Kbank 14/8/24 1086241408  : 0031 - บางขุนเทียน  : ปัญหา : เครื่องนับธนบัตรติดขัดใช้งานไม่ได้ จำนวน 3 เครื่อง 88130544+18091042+88131403 15/8/67 เบิก. Encoder 1  
2024.08.14 วันพุธ ,THERDSAK.W.,,,,,13:23 THERDSAK.W. รูป  
2024.08.14 วันพุธ ,ประวัติ,เบิกถ่านกระดุม 1 ก้อน ,NT3,ฝากป้าแดงวันนี้ครับ ,2087241415,13:37 ประวัติ ขอรหัสซ่อม SCB ตลาดมีนบุรี เครื่อง nt-3 S/N. B09667 ต้องตั้งวันที่ทุกวัน. พบตอน MA (2087241415) @ประวัติ เบิกถ่านกระดุม 1 ก้อน ฝากป้าแดงวันนี้ครับ  
2024.08.14 วันพุธ ,สุเมธี,เบิก Card Reader 1ตัว ลงโคราชครับ ,SCR,ลงโคราชครับ ,2087241416,13:44 สุเมธี สังข์สีแก้ว 14/8/2024 (2087241416) TTB โลตัส โคราช 2 SCR-3310 / 384019465 Card Reader ไม่อ่านบัตรประชาชน โทร.082-9692249 Chiranan Chatanulak INC0287493 *รบกวนช่างแจ้งวันเข้าสาขามาที่แผนก Admin ทันทีนะคะ ว่าจะเข้าดำเนินการภายในวันไหน เพื่อทำการ ส่ง Mail ตอบกลับสำนักงานใหญ่* *ปิดงานภายในวันที่ 16/8/67* เบิก Card Reader 1ตัว ลงโคราชครับ  
2024.08.14 วันพุธ ,AKARAPONG.,"เบิก BOARD PATH , BOARD DRIVER , REJECT SENSOR ตามรูป ",NTV,ฝากรินคับ ,1086241316,14:00 AKARAPONG. AK. kbank 13/8/24 1086241316  : 0484 - ตลาดไท  : ปัญหา : เครื่องนับธนบัตรเล็ก (โรยเงิน) นับไม่ได้ ค้าง PG5209 นัด User 14/8/67 ครับ เบิก BOARD PATH   BOARD DRIVER   REJECT SENSOR ตามรูป ฝากรินคับ  
2024.08.14 วันพุธ ,AKARAPONG.,,,,,14:00 AKARAPONG. AK. รูป  
2024.08.14 วันพุธ ,AKARAPONG.,,,,,14:01 AKARAPONG. AK. รูป  
2024.08.14 วันพุธ ,PB,,,,,14:03 PB ยกเลิกข้อความ  
2024.08.14 วันพุธ ,tadchakit,เบิก การ์ดลีดเดอร์ 1 ตัว ,SCR,ฝากแหม่มครับ ,2087241414,14:08 tadchakit 14/8/2024 (2087241414) TTB บางรัก SCR-3310 / 53312203235524 Card Reader ไม่อ่านบัตรประชาชน โทร.089-4843425 Montri Muenphothong INC0287490 *รบกวนช่างแจ้งวันเข้าสาขามาที่แผนก Admin ทันทีนะคะ ว่าจะเข้าดำเนินการภายในวันไหน เพื่อทำการ ส่ง Mail ตอบกลับสำนักงานใหญ่* *ปิดงานภายในวันที่ 16/8/67* เบิก การ์ดลีดเดอร์ 1 ตัว ฝากแหม่มครับ  
2024.08.14 วันพุธ ,max,เบิกตัวอ่านจำนวน 1 (เคาน์เตอร์เซ็ต ) ลงนครศรีธรรมราชครับ ,CM800H,ลงนครศรีธรรมราชครับ ,2086241414,14:27 max (เด็กใต้นิ) Kbank *14/8/24 2086241414*  : 0326CH - ศูนย์เงินสด ตลาดหัวอิฐ นครศรีธรรมราช  : : เครื่องปั่นทอน ธนบัตร อุปกรณ์และอาการ : ขอช่างเครื่องปั่นทอน ธนบัตร ปั่นไม่ครบ 100 31711027 CM800H เบิกตัวอ่านจำนวน 1 (เคาน์เตอร์เซ็ต ) ลงนครศรีธรรมราชครับ  
2024.08.14 วันพุธ ,max,เบิกไม้ระบา 1สำรอง1 ลงนครศรีธรรมราชครับ ,PASSBOOK,ลงนครศรีธรรมราชครับ ,2083241416,14:28 max (เด็กใต้นิ) 14/08/2024 (2083241416) กสิกร สาขา : สหไทยพลาซ่า ทุ่งสง ระบบงาน passbook // RHS-T12-130151 อาการ ปริ้นเอียง พนักงาน : กชสร จิตติศักดิ์ Tel. : 0808765816 INCS000000491455 *ปิดงานก่อน 2024-08-15 13:50* เบิกไม้ระบา 1สำรอง1 ลงนครศรีธรรมราชครับ  
2024.08.14 วันพุธ ,คุณชาย,เบิกชุดบอร์ดควบคุมพร้อมหม้อแป ลง ลงเชียงใหม่  [เสนอราคา ไม่ต้องตัด],KUPPU,ลงเชียงใหม่ ,208A241302,14:30 คุณชาย 5⃣6⃣ 13/08/2024 (208A241302) Non-Bank คุณธนเดช ผดุงศิลป์ KUPPU K303-04066 ไฟ้ไม่เข้า 082-2659987 ร้านเดอะวันเบเกอรี่ ต.ดอยหล่อ อ.ดอยหล่อ จ.เชียงใหม่ 50160 *เครื่องนอกสัญญา มีค่าใช้จ่ายในการซ่อม* *รบกวนแจ้งวันที่เข้าซ่อมให้ด้วยค่ะ* *ขอด่วนที่สุด* เบิกชุดบอร์ดควบคุมพร้อมหม้อแป ลง ลงเชียงใหม่  
2024.08.14 วันพุธ ,Piroon,เบิก NTA เซนเซอร์ MG 3 อัน ,NTA,ฝาก พี่กุ้งครับ ,1083240908,14:37 Piroon 9/08/2024 (1083240908) KTB ศาลาว่าการกรุงเทพมหานคร NEWTON A//N18H02-A00400 อาการไม่นับ โทร.092-6262414 คุณสุนีกานต์ เบิก NTA เซนเซอร์ MG 3 อัน ฝาก พี่กุ้งครับ  
2024.08.14 วันพุธ ,PB,,,,,14:39 PB 510-20-20933 @กิ๊กจ้า  
2024.08.14 วันพุธ ,กิ๊กจ้า,,,,,14:41 กิ๊กจ้า สติกเกอร์  
2024.08.14 วันพุธ ,PB,,,,,14:46 PB 384016953 @กิ๊กจ้า  
2024.08.14 วันพุธ ,Piroon,เบิกเพิ่ม สายแพรMG 3 เส้นครับ ,,,,14:55 Piroon เบิกเพิ่ม สายแพรMG 3 เส้นครับ  
2024.08.14 วันพุธ ,หลุยส์,เบิกเครื่องใหม่ รับเองครับ ,Card Reader,รับเองครับ ,2083241343,15:36 หลุยส์ 13/08/2024 (2083241343) กสิกร สาขาสี่แยกบางนา ระบบงาน Smart Card Reader // RR512-011663 อาการ ไม่อ่านบัตรประชาชน ช่อง2 พนักงาน : ศุภาพิชญ์ อบเชย Tel. : 0836005434 INCS000000490572 *ปิดงานก่อน 2024-08-14 15.30* รอเปลี่ยนเครื่องใหม่นัดลูกค้าพรุ่งนี้ครับ 14/8/67 เบิกเครื่องใหม่ รับเองครับ  
2024.08.14 วันพุธ ,หลุยส์,เบิกสายจอหลักครับ  [เสนอราคา ไม่ต้องตัด],JB-3008F+,,1087240806,15:41 หลุยส์ ขอเลขงานซ่อมscb เทพารักษ์ เครื่องcm800h S/n C1610022 หนูกัดสายจอหลัก jb3008f+ S/n 16111025 ลูกยางเสื่อม จอตอน MA (1087240806) @หลุยส์ Cm800h - เสนอเปลี่ยนสายจอหลัก Jb 3008f+- ซ่อมเรียบร้อย 8/8/67 *อนุมัติซ่อมครับ* 14/8/2024 @หลุยส์ เบิกสายจอหลักครับ  
2024.08.14 วันพุธ ,Peet,เบิกเพิ่ม เฟืองชุดขับด้านบน (ตามรูป) ,,,,15:44 Peet เบิกเพิ่ม เฟืองชุดขับด้านบน (ตามรูป)  
2024.08.14 วันพุธ ,Peet,,,,,15:44 Peet รูป  
2024.08.14 วันพุธ ,หลุยส์,เบิก สวิงซิ่งเซลล์ รับเองครับ ,NTV,รับเองครับ ,1086241403,15:44 หลุยส์ Kbank 14/8/24 1086241403  : 0863 - อิมพีเรียลเวิลด์ สำโรง  : ปัญหา : เครื่องนับเงินไม่ดูดเงิน ไม่โรยธนบัตร ธนบัตรติดเครื่องตลอด ไม่นับเงิน เปิดปิดหลายครั้งก็ไม่ได้ PD1330 ตืดต่อไม่ได้เข้าวันนี้ครับ เบิก สวิงซิ่งเซลล์ รับเองครับ  
2024.08.14 วันพุธ ,Ripp,เบิกสายซีเรียล ,PASSBOOK,ฝากพี่แหม่มครับ ,2083241412,17:47 Ripp 14/08/2024 (2083241412) กสิกร โลตัส กระทุ่มแบน ระบบงาน passbook // RHS-T12-118121 อาการ ไม่ปริ้นรายการ พนักงาน : สุทธิมาภรณ์ หนองเหล็ก Tel. : 0928653711 INCS000000491386 *ปิดงานก่อน 2024-08-15 13:00* เบิกสายซีเรียล ฝากพี่แหม่มครับ  
2024.08.15 วันพฤหัสบดี ,sutta,เบิกสายไฟจอแยกเพิ่ม 1 เส้นครับ ,NTV,,1086241317,08:39 sutta Kbank 13/8/24 1086241317  : 0003 - สุขุมวิท 33 (บางกะปิ)  : ปัญหา : เครื่องนับจำนวนธนบัตร เสีย หน้าจอไม่ติด ช่องบริการที่ 4 N17J01-PH4519 เข้าพรุ่งนี้ครับ User รับทราบ ซ่อมเรียบร้อยครับ มีแจ้งเพิ่ม14/8/67 เพิ่ม เบิกสายไฟจอแยกเพิ่ม 1 เส้นครับ  
2024.08.15 วันพฤหัสบดี ,sutta,,,,,08:39 sutta รูป  
2024.08.15 วันพฤหัสบดี ,ประวัติ,เบิกโซลินอยด์ 1 ตัว ,AKEBONO,ฝากเกะครับ ,2083241422,09:09 ประวัติ 14/08/2024 (2083241422) SCB ตลาดมีนบุรี AKEBONO//04059203 ไม่ดึงสายรัด โทร.089-9035149 คุณอภิรดี เบิกโซลินอยด์ 1 ตัว ฝากเกะครับ  
2024.08.15 วันพฤหัสบดี ,ประวัติ,,,,,09:09 ประวัติ รูป  
2024.08.15 วันพฤหัสบดี ,Tayan,,,,,09:29 Tayan รูป  
2024.08.15 วันพฤหัสบดี ,Tayan,,,,,09:29 Tayan ยกเลิกข้อความ  
2024.08.15 วันพฤหัสบดี ,Tayan,เบิก ยางรับ ส่ง พร้อมแกน jb3008 - เบิกหน้าจอแสดงผลหลักตามรูป ส่ง ลงบ้านโป่งครับ ,JB3008F,ลงบ้านโป่งครับ 15/8/67 ,1086241501,09:30 Tayan Kbank 15/8/24 1086241501  : 0368 - ห้วยพลู  : แจ้งซ่อมเครื่องโรยเงิน ช่องบริการที่ ใช้งานไม่ได้ ลูกยางเสื่อม 88130890 JB3008 แจ้งเพิ่ม CM-800H 31711035 แจ้งซ่อมเครื่องปั่นเงิน หน้าจอแสดงผลเป็นลายเส้น - เบิก ยางรับ ส่ง พร้อมแกน jb3008 - เบิกหน้าจอแสดงผลหลักตามรูป ส่ง ลงบ้านโป่งครับ 15/8/67  
2024.08.15 วันพฤหัสบดี ,สุเมธี,เบิก เมนบอร์ด1แผ่น ปั้มดูดน้ำ1 ชุด ฟิวส์ 5A 2ตัว ลงโคราชครับ ,KUPPU,ลงโคราชครับ ,1083241403,09:50 สุเมธี สังข์สีแก้ว 14/08/2024 (1083241403) Makro ปากช่อง KUPPU//K303-02023 นับไม่ ลง โทร.044-008498 คุณศศินัทดา เบิก เมนบอร์ด1แผ่น ปั้มดูดน้ำ1 ชุด ฟิวส์ 5A 2ตัว ลงโคราชครับ  
2024.08.15 วันพฤหัสบดี ,สุเมธี,,,,,09:50 สุเมธี สังข์สีแก้ว รูป  
2024.08.15 วันพฤหัสบดี ,สมเดช,เบิก .สายจอแยก1 แกนเลื่อนตัวกั้นธนบัตร1ชุด ลงพืษณุโลกครับ ,NTV,ลงพืษณุโลกครับ ,2086241323,10:38 สมเดช Kbank 13/8/24 2086241323  : 0294 - เซ็นทรัลพลาซา พิษณุโลก  : ปัญหา : เครื่องนับธนบัตรไม่โปรยเงืิน PD4424 ซ่อมเรียบร้อย. เบิก .สายจอแยก1 แกนเลื่อนตัวกั้นธนบัตร1ชุด ลงพืษณุโลกครับ  
2024.08.15 วันพฤหัสบดี ,สมเดช,,,,,10:39 สมเดช รูป  
2024.08.15 วันพฤหัสบดี ,คุณ.ทรงพล,เบิกที่กั้น reject 2 อัน ส่ง ลงยโสธรครับ ,NTV,ลงยโสธรครับ ,1086241510,11:03 คุณ.ทรงพล 15/9/67 ธนาคารกรุงไทยสาขาอุทุมพรพิสัย เครื่องนิวตันวี Sn.N15A01-PD5759 ที่กั้นรีเจคหัก (ขอเลขแจ้งซ่อมครับ) 15/8/24 1086241510 เบิกที่กั้น reject 2 อัน ส่ง ลงยโสธรครับ  
2024.08.15 วันพฤหัสบดี ,คุณ.ทรงพล,เบิกปุ่มรีเซ็ต 2 อัน(สำรอง 1) ส่ง ลงยโสธรครับ ,CM800H,ลงยโสธรครับ ,1087241501,11:04 คุณ.ทรงพล 15/8/2024 (1087241501) SCB บิ๊กซี ศรีสะเกษ CM-800H /C1620395 ปั่นติด+ปุ่มรีเซตหลุด โทร.0821410474 คุณกาญจนี เบิกปุ่มรีเซ็ต 2 อัน(สำรอง 1) ส่ง ลงยโสธรครับ  
2024.08.15 วันพฤหัสบดี ,nattapon,เบิก หน้าจอหลัก 1 อัน ส่ง ลงแพร่ค้าบ ,NTA,ลงแพร่ค้าบ ,2086241329,11:45 nattapon Kbank 13/8/24 2086241329  : 0114 - น่าน  : ปัญหา : เครื่องนับหน้าจอไม่ติด ไม่ขึ้นตัวเลข ช่องบริการที่ 5 Newton A A00233 เบิก หน้าจอหลัก 1 อัน ส่ง ลงแพร่ค้าบ  
2024.08.15 วันพฤหัสบดี ,<€Aee€>,เบิกตัวเลื่อนพร้อมตัวกั้นธนบัตรด้ายซ้าย 1 ชุด ส่ง ลงอุทัยธานี ,NTV,ลงอุทัยธานี ,2086241345,11:46 <€Aee€> Kbank 13/8/67 2086241345 ---รายละเอียดเอกสาร---  : 0278 - ตาคลี  : เครื่องโปรยเงินติด ช่องบริการที่ 2 ผู้นำทีม (Task Manager): ทีมงานสาขา-งานซ่อมสาขา(ภาค06) Newton+V เบิกตัวเลื่อนพร้อมตัวกั้นธนบัตรด้ายซ้าย 1 ชุด ส่ง ลงอุทัยธานี  
2024.08.15 วันพฤหัสบดี ,<€Aee€>,,,,,12:07 <€Aee€> รูป  
2024.08.15 วันพฤหัสบดี ,อ้วน,เบิกตัวชนธนบัตร 1 อัน*** ,,,2087241509,12:25 อ้วน ขอเลขที่ซ่อม Ttb เชันทรัล บางนา อาการ ตัวชนธนบัตรหัก เจอตอน ma (2087241509) @อ้วน *** เบิกตัวชนธนบัตร 1 อัน***  
2024.08.15 วันพฤหัสบดี ,อ้วน,,,,,12:25 อ้วน รูป  
2024.08.15 วันพฤหัสบดี ,Ripp,เบิกปุ่มรีเซทยางสีเหลือง ,CM800H,ฝากพี่แหม่มครับ ,1086241506,12:39 Ripp Kbank 15/8/24 1086241506  : 0315 - บ้านแพ้ว หลักสาม  : เครื่องปั่นเงิน: ปุ่ม กด ยากมาก 31809039 เบิกปุ่มรีเซทยางสีเหลือง ฝากพี่แหม่มครับ  
2024.08.15 วันพฤหัสบดี ,Tayan,เบิก เคาน์ เซ็นเซอร์ 1ชุด - เบิกรีเจค เซ็นเซอร์1ชุด ส่ง ลงบ้านโป่งครับ ,,ลงบ้านโป่งครับ 15/8/67 ,2088240808,13:09 Tayan 08/08/2024 (2088240808) KTB สาขาประจวบคีรีขันธ์ N22D02-T35110 ขึ้นจุดแดงตรง Sensor โทร 091-7716221 คุณเครือวัลย์ **ลูกค้าตามช่าง อยากให้ช่างช่วยเช็คให้ละเอียดหน่อย / หรือยกเครื่องกลับมาเช็คที่ ISC เพราะเสียบ่อยค่ะ - เบิก เคาน์ เซ็นเซอร์ 1ชุด - เบิกรีเจค เซ็นเซอร์1ชุด ส่ง ลงบ้านโป่งครับ 15/8/67  
2024.08.15 วันพฤหัสบดี ,KH,เบิกปุ่มรีเซ็ตเครื่อง cm800 ลงชุมพรครับ ,NTV,ลงชุมพรครับ ,2086241425,13:09 KH Kbank 14/8/24 2086241425  : 0232 - ระนอง  : ปัญหา : เครื่องนับธรบัตร ปุ่นรีเซ็ตหลุดสาขาระนอง 31906079 CM800H แจ้งเพ่ิม N14K10-PD5528 Newton V เครื่องโปรยธนบัตร โรยแบงค์50ไม่ได้ เบิกปุ่มรีเซ็ตเครื่อง cm800 ลงชุมพรครับ  
2024.08.15 วันพฤหัสบดี ,KH,,,,,13:09 KH รูป  
2024.08.15 วันพฤหัสบดี ,สมเดช,เบิก โอริง1 สายพานด้านข้าง1 สายจอแยก1 ลงพิษณุโลกครับ ,NTV,ลงพิษณุโลกครับ ,2084241002,13:10 สมเดช 10/8/67 2084241002  : 1102 - บิ๊กซี พิษณุโลก โทรศัพท์ที่ทำงาน: 0928232804 ---รายละเอียดของงาน--- ประเภทของงาน / ลักษณะงาน: U/เครื่องนับธนบัตรเล็ก (โรยเงิน)/S2/ชำรุด ไม่ทำงาน อุปกรณ์: CM-1102-01/CCM-01/000 รายละเอียดและ/หรือความต้องการอื่นๆ: ปัญหา : โปรยเงินแล้วเครื่องติด PH5991 ซ่อมเรียบร้อยแล้ว เบิก โอริง1 สายพานด้านข้าง1 สายจอแยก1 ลงพิษณุโลกครับ  
2024.08.15 วันพฤหัสบดี ,สมเดช,,,,,13:10 สมเดช รูป  
2024.08.15 วันพฤหัสบดี ,สมเดช,,,,,13:11 สมเดช รูป  
